customer_id,age,tenure_months,segment,region,monthly_spend_usd,products_owned,support_tickets_12m,last_campaign,churned,satisfaction_score,credit_score,is_premium,join_date,last_activity_date
C100000,61.0,1.0,SMB,Centro,94.86,2.0,2.0,Email,0,3.89,607.0,Sí,2020-04-12 07:24:32,2025-08-23 07:24:32
C100001,28.0,68.0,SMB,Austral,25.47,1.0,8.0,Ninguna,0,2.89,611.0,No,2016-03-21 16:26:39,2018-04-14 16:26:39
C100002,39.0,89.0,SMB,Austral,,5.0,6.0,Ninguna,0,4.67,649.0,Sí,2019-04-11 09:36:21,2021-01-25 09:36:21
C100003,26.0,66.0,Enterprise,Norte,88.21,3.0,3.0,,1,2.0,686.0,Sí,2017-12-19 20:57:57,2021-01-28 20:57:57
C100004,30.0,46.0,SMB,Sur,7.22,5.0,3.0,Ninguna,0,2.92,633.0,No,2016-08-17 21:31:59,2024-05-03 21:31:59
C100005,,99.0,SMB,Norte,80.69,6.0,4.0,SMS,0,3.08,775.0,Sí,2018-07-16 11:41:35,2023-08-17 11:41:35
C100006,27.0,45.0,Residencial,Centro,74.05,5.0,4.0,,0,2.69,605.0,Sí,2020-10-01 08:50:24,2024-02-24 08:50:24
C100007,27.0,85.0,SMB,Sur,74.02,5.0,,Email,0,2.98,553.0,Sí,2020-03-31 18:06:09,2026-10-22 18:06:09
C100008,37.0,56.0,Residencial,Sur,46.73,1.0,10.0,Llamada,0,1.4,517.0,No,2023-09-04 12:06:24,2023-11-04 12:06:24
C100009,26.0,4.0,SMB,Austral,36.84,,0.0,,0,4.63,,No,2021-04-18 19:33:59,2023-12-27 19:33:59
C100010,46.0,64.0,Enterprise,Austral,15.7,1.0,5.0,SMS,0,,542.0,No,2019-12-14 21:07:01,2024-04-09 21:07:01
C100011,29.0,6.0,SMB,Austral,88.29,,3.0,Ninguna,1,5.0,656.0,Sí,2022-11-12 06:26:46,2026-10-08 06:26:46
C100012,66.0,111.0,SMB,Sur,57.15,1.0,8.0,SMS,1,2.26,655.0,No,2023-03-04 17:55:20,2028-07-29 17:55:20
C100013,33.0,72.0,Residencial,Sur,52.89,3.0,2.0,Llamada,0,4.01,742.0,Sí,2021-05-14 14:18:55,2026-12-23 14:18:55
C100014,39.0,45.0,SMB,Austral,65.47,2.0,5.0,SMS,0,2.9,630.0,No,2018-10-24 19:14:23,2022-06-16 19:14:23
C100015,25.0,58.0,,,59.48,4.0,3.0,Email,0,2.79,728.0,No,2019-10-20 06:34:14,2027-03-26 06:34:14
C100016,55.0,74.0,SMB,Centro,50.83,,3.0,Email,0,2.13,579.0,No,2020-11-11 17:00:51,2028-04-13 17:00:51
C100017,49.0,,Enterprise,Centro,6.14,2.0,2.0,Ninguna,0,3.2,502.0,No,2022-04-02 23:54:22,2026-01-18 23:54:22
C100018,41.0,35.0,SMB,Sur,102.86,1.0,6.0,SMS,0,3.74,693.0,Sí,2017-01-22 09:21:06,2024-04-08 09:21:06
C100019,25.0,50.0,Enterprise,Centro,28.86,1.0,2.0,Llamada,0,2.19,490.0,No,2022-11-09 12:03:45,2027-12-24 12:03:45
C100020,40.0,31.0,Enterprise,Norte,84.12,,6.0,SMS,0,,585.0,Sí,2022-03-18 23:05:16,2023-04-27 23:05:16
C100021,27.0,,Enterprise,Austral,,1.0,7.0,Ninguna,1,1.94,611.0,No,2015-10-17 18:37:08,2016-09-30 18:37:08
C100022,53.0,13.0,Residencial,Sur,74.6,7.0,1.0,Llamada,0,5.0,644.0,Sí,2017-06-05 09:46:36,2018-01-24 09:46:36
C100023,46.0,99.0,SMB,Sur,112.96,5.0,2.0,Email,1,2.73,639.0,Sí,2017-02-14 02:24:16,2018-10-25 02:24:16
C100024,39.0,42.0,Residencial,Austral,95.67,3.0,1.0,SMS,0,,579.0,Sí,2020-03-20 19:28:57,2022-09-17 19:28:57
C100025,18.0,67.0,SMB,Austral,91.23,4.0,3.0,Llamada,0,2.55,599.0,No,2016-11-16 18:34:04,2017-06-05 18:34:04
C100026,28.0,,SMB,,73.07,2.0,,Email,0,3.44,660.0,No,2017-09-13 21:55:20,2022-07-24 21:55:20
C100027,45.0,46.0,Enterprise,Centro,72.34,1.0,6.0,SMS,0,1.75,581.0,No,2016-09-13 19:45:54,2019-12-27 19:45:54
C100028,50.0,90.0,Enterprise,Norte,16.98,1.0,5.0,Email,0,2.1,550.0,No,2015-08-10 13:14:11,2020-05-31 13:14:11
C100029,49.0,33.0,SMB,Centro,74.32,6.0,5.0,Email,0,3.66,575.0,Sí,2019-02-18 21:58:44,2023-02-25 21:58:44
C100030,22.0,,,Austral,77.42,6.0,1.0,,0,5.0,601.0,Sí,2017-11-16 17:33:15,2020-01-18 17:33:15
C100031,41.0,63.0,Residencial,,115.8,6.0,5.0,Ninguna,0,3.37,674.0,Sí,2019-07-17 08:22:21,2024-06-15 08:22:21
C100032,48.0,20.0,SMB,Norte,50.96,1.0,0.0,Llamada,0,4.45,621.0,No,2016-11-27 22:40:29,2024-07-05 22:40:29
C100033,21.0,38.0,Enterprise,Austral,68.18,1.0,2.0,Email,0,3.6,552.0,,2017-07-30 07:10:09,2020-02-09 07:10:09
C100034,38.0,54.0,Residencial,,64.66,4.0,2.0,Ninguna,0,4.32,467.0,No,2023-01-13 05:14:53,2025-06-28 05:14:53
C100035,41.0,68.0,Residencial,Austral,92.7,4.0,,Llamada,0,2.67,,No,2022-03-31 03:03:05,2026-05-16 03:03:05
C100036,35.0,77.0,Enterprise,Sur,58.04,2.0,2.0,Ninguna,1,4.78,546.0,,2017-05-24 20:59:48,2023-10-28 20:59:48
C100037,19.0,81.0,SMB,Norte,84.93,1.0,4.0,Email,0,2.15,641.0,No,2016-06-15 18:47:18,2020-09-13 18:47:18
C100038,35.0,101.0,Enterprise,Centro,19.02,2.0,2.0,Email,1,1.7,555.0,No,2023-10-08 22:17:45,2030-06-02 22:17:45
C100039,35.0,8.0,SMB,Norte,41.77,4.0,7.0,Llamada,0,2.63,571.0,Sí,2021-02-16 00:27:59,2021-09-20 00:27:59
C100040,37.0,44.0,Enterprise,Centro,6.19,6.0,1.0,Ninguna,0,5.0,609.0,No,2019-06-07 08:10:34,2020-03-20 08:10:34
C100041,32.0,1.0,Enterprise,,108.39,6.0,,Email,0,4.53,791.0,Sí,2021-04-17 21:12:46,2024-07-16 21:12:46
C100042,34.0,2.0,Enterprise,,102.69,5.0,3.0,Email,0,3.48,,,2016-12-27 15:22:23,2018-11-06 15:22:23
C100043,38.0,26.0,SMB,Sur,85.67,6.0,3.0,SMS,0,4.26,608.0,No,2018-11-08 06:28:46,2019-01-14 06:28:46
C100044,42.0,72.0,SMB,Sur,68.21,1.0,0.0,Ninguna,0,3.7,672.0,,2018-07-10 08:21:21,2020-03-29 08:21:21
C100045,35.0,107.0,Enterprise,Norte,67.26,6.0,5.0,,0,4.5,545.0,Sí,2021-06-27 12:06:10,2023-08-27 12:06:10
C100046,34.0,93.0,SMB,Sur,57.95,2.0,4.0,Ninguna,0,1.08,533.0,No,2016-08-25 22:30:50,2024-01-01 22:30:50
C100047,39.0,77.0,SMB,Centro,,2.0,4.0,Llamada,1,2.39,449.0,No,2019-05-27 15:24:02,2025-08-27 15:24:02
C100048,19.0,93.0,SMB,Sur,129.96,3.0,5.0,Ninguna,0,2.45,754.0,,2022-07-03 07:36:16,2025-04-23 07:36:16
C100049,43.0,21.0,,Norte,85.59,1.0,5.0,,0,1.41,692.0,No,2016-10-07 07:56:50,2024-06-04 07:56:50
C100050,38.0,100.0,SMB,Sur,71.38,1.0,7.0,,0,3.35,604.0,No,2016-01-30 08:08:08,2022-10-07 08:08:08
C100051,38.0,106.0,Enterprise,Sur,,,4.0,Llamada,1,2.1,608.0,No,2022-05-23 08:02:59,2024-05-23 08:02:59
C100052,48.0,12.0,Enterprise,Centro,75.31,6.0,3.0,Llamada,1,4.35,557.0,Sí,2022-11-11 06:51:26,2026-09-06 06:51:26
C100053,,56.0,Residencial,Norte,74.33,7.0,2.0,SMS,0,5.0,637.0,,2018-11-16 06:32:00,2026-03-30 06:32:00
C100054,18.0,99.0,,Norte,84.5,3.0,3.0,Email,0,2.49,758.0,Sí,2015-05-31 22:18:14,2019-01-25 22:18:14
C100055,41.0,57.0,SMB,Centro,60.27,7.0,3.0,Llamada,0,2.85,658.0,Sí,2019-11-13 06:09:01,2022-10-31 06:09:01
C100056,38.0,101.0,SMB,Sur,57.61,5.0,4.0,Ninguna,0,2.5,566.0,No,2017-09-11 19:28:13,2024-11-30 19:28:13
C100057,40.0,112.0,,Austral,31.9,1.0,3.0,,0,3.17,495.0,No,2020-04-14 21:00:19,2025-07-25 21:00:19
C100058,33.0,57.0,Residencial,Sur,91.11,1.0,4.0,Ninguna,0,2.32,683.0,No,2016-04-04 19:23:00,2019-10-13 19:23:00
C100059,45.0,8.0,Enterprise,Centro,76.47,3.0,5.0,SMS,1,2.75,596.0,No,2022-03-31 12:56:09,2029-03-13 12:56:09
